DataSeries,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Total Enrolment In Childcare,154173,152634,145999,138966,130062,124549,118296,109542,101905,91601,80422,86124
Total Number Of Places In Childcare,200847,194972,184415,178939,170932,166235,156950,139359,128207,117065,104066,96340
